run,layer,Latitude_End,Longitude_End,MAG,RPKM
ERR599148,DCM,-21.0675,-35.3923,UBA7428_sp2,0.042306736
ERR599153,DCM,39.3757,19.4167,UBA7428_sp2,0.079677484
ERR599168,DCM,-5.2476,-85.3343,UBA7428_sp2,0.134144822
FRAM18_4502_E,DCM,79.61543,-16.525455,UBA7428_sp2,0.797130776
FRAM18_4502_F,DCM,78.816987,-2.769484,UBA7428_sp2,0.829668949
FRAM18_4502_G,DCM,79.830552,-0.009995,UBA7428_sp2,0.388928257
FRAM18_4502_H,DCM,80.160399,0.148768,UBA7428_sp2,0.416532776
FRAM18_4502_I,DCM,80.489093,0.038608,UBA7428_sp2,4.019590629
FRAM18_4502_J,DCM,81.161264,-0.078996,UBA7428_sp2,0.879015236
FRAM18_4502_K,DCM,79.019027,8.007845,UBA7428_sp2,5.500953641
FRAM18_4514_A,DCM,79.012988,-5.281426,UBA7428_sp2,1.149132319
FRAM18_4514_B,DCM,80.160399,0.148768,UBA7428_sp2,5.579811653
FRAM18_4514_C,DCM,80.856194,-0.142645,UBA7428_sp2,0.52071475
FRAM18_4514_D,DCM,79.011806,7.035105,UBA7428_sp2,5.662900962
ERR3589560,Mesopelagic,70.9125,-53.5349,UBA7428_sp2,1.032935842
